transaction_id,order_id,user_id,payment_method,transaction_status,failure_reason,amount,retry_attempt,transaction_date
TXN000001,ORD93810,U2824,UPI,SUCCESS,,2272.73,0,2024-02-05 07:47:00
TXN000002,ORD81482,U2424,CARD,FAILED,INSUFFICIENT_BALANCE,351.08,0,2024-02-25 02:14:00
TXN000003,ORD95181,U9928,UPI,SUCCESS,,3648.75,1,2024-01-02 08:48:00
TXN000004,ORD54597,U5552,UPI,SUCCESS,,7661.98,0,2024-01-27 10:05:00
TXN000005,ORD55082,U5333,WALLET,SUCCESS,,5864.88,0,2024-02-01 17:59:00
TXN000006,ORD92397,U6925,CARD,SUCCESS,,5666.12,1,2024-06-18 01:14:00
TXN000007,ORD40512,U2654,UPI,SUCCESS,,3681.94,0,2024-02-11 11:23:00
TXN000008,ORD99593,U2169,CARD,SUCCESS,,1452.0,0,2024-03-03 23:10:00
TXN000009,ORD93886,U4598,CARD,SUCCESS,,6758.53,0,2024-02-28 01:52:00
TXN000010,ORD45093,U2084,UPI,SUCCESS,,7548.99,1,2024-03-21 22:13:00
TXN000011,ORD94259,U8517,UPI,SUCCESS,,1203.08,0,2024-05-23 23:34:00
TXN000012,ORD86484,U7543,UPI,FAILED,INSUFFICIENT_BALANCE,7978.87,0,2024-05-10 04:31:00
TXN000013,ORD92240,U3621,WALLET,SUCCESS,,3435.06,0,2024-04-08 02:24:00
TXN000014,ORD42953,U1188,CARD,FAILED,BANK_SERVER_DOWN,1004.96,0,2024-03-09 17:49:00
TXN000015,ORD69470,U1053,NETBANKING,SUCCESS,,7019.24,0,2024-05-08 08:48:00
TXN000016,ORD91959,U5889,WALLET,SUCCESS,,4110.54,1,2024-02-09 06:23:00
TXN000017,ORD79514,U1009,CARD,SUCCESS,,3959.99,2,2024-04-02 03:56:00
TXN000018,ORD41385,U1949,UPI,FAILED,USER_CANCELLED,4582.12,0,2024-01-22 02:46:00
TXN000019,ORD26483,U3103,CARD,SUCCESS,,7580.1,1,2024-03-08 05:33:00
TXN000020,ORD37760,U9835,WALLET,SUCCESS,,5549.95,2,2024-03-20 22:25:00
TXN000021,ORD67422,U9479,CARD,SUCCESS,,2058.45,0,2024-03-27 02:01:00
TXN000022,ORD38864,U1117,UPI,FAILED,PAYMENT_TIMEOUT,5085.71,0,2024-01-18 07:57:00
TXN000023,ORD46500,U8953,UPI,SUCCESS,,1145.26,0,2024-05-27 18:30:00
TXN000024,ORD63354,U4119,UPI,SUCCESS,,5305.96,0,2024-04-18 11:26:00
TXN000025,ORD98259,U2612,UPI,SUCCESS,,5852.89,0,2024-03-04 03:12:00
TXN000026,ORD65296,U4006,UPI,SUCCESS,,2073.47,1,2024-04-23 02:51:00
TXN000027,ORD16630,U9856,WALLET,FAILED,BANK_SERVER_DOWN,7755.07,0,2024-02-12 07:26:00
TXN000028,ORD17685,U3697,UPI,SUCCESS,,7883.94,0,2024-04-26 08:18:00
TXN000029,ORD82845,U8973,UPI,SUCCESS,,2443.99,0,2024-05-28 01:47:00
TXN000030,ORD17492,U1821,CARD,SUCCESS,,4072.52,2,2024-02-10 16:03:00
TXN000031,ORD34356,U2122,CARD,SUCCESS,,5434.18,2,2024-04-13 07:07:00
TXN000032,ORD85880,U1651,CARD,SUCCESS,,3411.88,0,2024-05-24 18:33:00
TXN000033,ORD97782,U6147,UPI,SUCCESS,,3226.71,0,2024-06-14 21:19:00
TXN000034,ORD19508,U1152,CARD,SUCCESS,,7987.79,0,2024-01-19 03:34:00
TXN000035,ORD55745,U2127,WALLET,SUCCESS,,3019.26,0,2024-04-22 05:53:00
TXN000036,ORD95717,U9666,UPI,FAILED,INSUFFICIENT_BALANCE,6555.12,2,2024-06-18 09:06:00
TXN000037,ORD24029,U3546,UPI,SUCCESS,,4878.16,1,2024-03-28 22:13:00
TXN000038,ORD76244,U9004,UPI,FAILED,INSUFFICIENT_BALANCE,7274.46,0,2024-01-24 01:40:00
TXN000039,ORD27146,U5291,UPI,FAILED,TECHNICAL_ERROR,3590.5,0,2024-04-19 22:35:00
TXN000040,ORD29536,U9938,UPI,SUCCESS,,3016.81,0,2024-02-07 17:27:00
TXN000041,ORD15229,U6862,UPI,SUCCESS,,2071.28,0,2024-03-31 03:49:00
TXN000042,ORD91351,U3532,NETBANKING,SUCCESS,,1970.22,0,2024-02-15 05:56:00
TXN000043,ORD53540,U7745,WALLET,FAILED,TECHNICAL_ERROR,6926.11,1,2024-03-09 07:10:00
